Subj,group,Conditions,Mask,CorrVal
S219,Extension,baseline_novel,HPC,0.740815512275793
S219,Extension,reverse_novel,HPC,0.766409038166767
S220,Replication,target_baseline,HPC,0.882410553196798
S220,Replication,target_reverse,HPC,0.808381008029438
S220,Replication,target_novel,HPC,0.926123595874735
S220,Replication,baseline_reverse,HPC,0.690472698765889
S220,Replication,baseline_novel,HPC,0.830139031079259
S220,Replication,reverse_novel,HPC,0.836027229229067
S221,Replication,target_baseline,HPC,0.93360504670231
S221,Replication,target_reverse,HPC,0.915731073081002
S221,Replication,target_novel,HPC,0.882040802279072
S221,Replication,baseline_reverse,HPC,0.951198206904675
S221,Replication,baseline_novel,HPC,0.891984335538394
S221,Replication,reverse_novel,HPC,0.906170081810813
S223,Replication,target_baseline,HPC,0.816511523071836
S223,Replication,target_reverse,HPC,0.792330271153774
S223,Replication,target_novel,HPC,0.766506865811885
S223,Replication,baseline_reverse,HPC,0.796489773369736
S223,Replication,baseline_novel,HPC,0.890834502879221
S223,Replication,reverse_novel,HPC,0.771656352774456
S226,Replication,target_baseline,HPC,0.932593121644115
S226,Replication,target_reverse,HPC,0.908975703984922
S226,Replication,target_novel,HPC,0.844707790822759
S226,Replication,baseline_reverse,HPC,0.941340348348701
S226,Replication,baseline_novel,HPC,0.932685936498395
S226,Replication,reverse_novel,HPC,0.907893970912702
S228,Replication,target_baseline,HPC,0.678583292249886
S228,Replication,target_reverse,HPC,0.879458166026985
S228,Replication,target_novel,HPC,0.242921501922982
S228,Replication,baseline_reverse,HPC,0.804932379627277
S228,Replication,baseline_novel,HPC,0.634296255422111
S228,Replication,reverse_novel,HPC,0.346226565012846
S230,Replication,target_baseline,HPC,0.876066654988152
S230,Replication,target_reverse,HPC,0.803590279296129
S230,Replication,target_novel,HPC,0.771593019095987
S230,Replication,baseline_reverse,HPC,0.922904806824707
S230,Replication,baseline_novel,HPC,0.896510742258741
S230,Replication,reverse_novel,HPC,0.859778253931972
S232,Replication,target_baseline,HPC,0.752417330940466
S232,Replication,target_reverse,HPC,0.773250445371845
S232,Replication,target_novel,HPC,0.671455449005604
S232,Replication,baseline_reverse,HPC,0.746232641400788
S232,Replication,baseline_novel,HPC,0.859858081251371
S232,Replication,reverse_novel,HPC,0.681692075801702
S233,Extension,target_baseline,HPC,0.848457918694812
S233,Extension,target_reverse,HPC,0.846428288437319
S233,Extension,target_novel,HPC,0.782307494009951
S233,Extension,baseline_reverse,HPC,0.862830062358532
S233,Extension,baseline_novel,HPC,0.782291911837318
S233,Extension,reverse_novel,HPC,0.855109468197674
S234,Replication,target_baseline,HPC,0.812208496291387
S234,Replication,target_reverse,HPC,0.927019025779922
S234,Replication,target_novel,HPC,0.847903693664418
S234,Replication,baseline_reverse,HPC,0.839107310670048
S234,Replication,baseline_novel,HPC,0.942869700297853
S234,Replication,reverse_novel,HPC,0.860359087734693
S235,Replication,target_baseline,HPC,0.832209374552873
S235,Replication,target_reverse,HPC,0.741684574633338
S235,Replication,target_novel,HPC,0.76065912619796
S235,Replication,baseline_reverse,HPC,0.515868821111244
S235,Replication,baseline_novel,HPC,0.912683223478953
S235,Replication,reverse_novel,HPC,0.468483482035062
S239,Extension,target_baseline,HPC,0.873561617563039
S239,Extension,target_reverse,HPC,0.600788531876365
S239,Extension,target_novel,HPC,-0.200111478630573
S239,Extension,baseline_reverse,HPC,0.779775140929865
S239,Extension,baseline_novel,HPC,0.00731161468857988
S239,Extension,reverse_novel,HPC,0.349641191400402
S240,Extension,target_baseline,HPC,0.671227691467994
S240,Extension,target_reverse,HPC,0.584650229519616
S240,Extension,target_novel,HPC,0.79759000153077
S240,Extension,baseline_reverse,HPC,0.898728286100733
S240,Extension,baseline_novel,HPC,0.814087103201423
S240,Extension,reverse_novel,HPC,0.785445027731158
S242,Extension,target_baseline,HPC,0.65881566090091
S242,Extension,target_reverse,HPC,0.70867011395304
S242,Extension,target_novel,HPC,0.632383346539992
S242,Extension,baseline_reverse,HPC,0.649535129627942
S242,Extension,baseline_novel,HPC,0.366869642509063
S242,Extension,reverse_novel,HPC,0.739628960970727
